alpha,leaves,depth,mse,cvar95,lp_mean,mse_norm,cvar_norm,lp_norm,score
1.4393854579016367,1,0,0.6676212683211499,3.9736482122027224,0.6676212683211499,242.82913444253367,240.53818918185394,240.98832085744104,241.77368814731125
0.525087773264274,2,1,0.13643265076204508,1.6723828424267564,0.22003406686983643,49.623677474443866,101.23491538601535,79.42473198874865,71.06725975077626
0.12037166783352907,3,2,0.13643103720028382,1.6723828424267564,0.22003406687232355,49.623090585103384,101.23491538601535,79.42473198964642,71.06696630628558
0.07842451744887097,4,2,0.002750013143139976,0.01652026368554493,0.0027703469858860407,1.000242716852819,1.0000267007846013,1.0,1.0001293686617898
0.06158407215640357,5,3,0.0027500058239910614,0.016519822593320212,0.002777136759515423,1.000240054710853,1.0,1.0024508748052046,1.0006102023164676
0.04816471542759447,6,3,0.0027500058239910614,0.016519822593320212,0.002790270840614407,1.000240054710853,1.0,1.0071918264498532,1.0015583926453973
0.011440845015737881,7,3,0.002749345830572668,0.01652868730346263,0.0027977693631964476,1.0,1.0005366104927786,1.009898535255733,1.0021406901989802
0.009640255305657852,8,4,0.0027915673333856854,0.016792770283967612,0.002859589575210945,1.0153569268527498,1.0165224347359376,1.0322135060263442,1.0190778950524249
0.009171371622692734,9,4,0.0027919556632565257,0.016790305664287502,0.0028600212971338053,1.0154981713140767,1.0163732430805075,1.0323693427951892,1.0191349271402286
0.008279062337884686,10,4,0.0027919556632565257,0.016790305664287502,0.002860551486605559,1.0154981713140767,1.0163732430805075,1.032560722963253,1.0191732031738412
0.005819068129385849,11,4,0.0028373474863777424,0.017259359953841,0.0029863838344300914,1.0320082162187447,1.044766664795772,1.0779818736225764,1.0450304822726193
0.004599561046872186,12,4,0.002852643730000143,0.017221902680958925,0.0029985634688290104,1.0375718100934428,1.042499251046594,1.0823783028283656,1.0480113409263727
0.00417258243286921,13,5,0.0028520818698872987,0.017244921762877403,0.002998054676659498,1.0373674487116928,1.0438926729062081,1.0821946463506373,1.0482904554978363
0.004078106399879797,14,5,0.002848085139199939,0.017283570990531703,0.00299793861949617,1.0359137462916785,1.0462322396561519,1.0821527537054492,1.0482570957837747
0.0014251856057829818,15,5,0.0028453484378728683,0.01725192922075375,0.0029983733425862145,1.0349183453869837,1.0443168577203465,1.082309673792449,1.0472161647680855
